Identifier	Sequence-length	motility	TypeA_CDS	TypeB_CDS	CTD_CDS	total
1227739.3	5252070.0	0	0.0134710372698697	0.0022451728783116	0.0157162101481814	70.0
1385664.3	4360029.0	1	0.0081643402686331	0.0010534632604687	0.0092178035291019	35.0
553174.6	3168282.0	0	0.0046121593291404	0.0	0.0046121593291404	11.0
643867.3	4516490.0	1	0.0086668366046393	0.0025490695895997	0.0109609992352791	43.0
GCA_000024525.1	8491258.0	1	0.0053260400172736	0.001151576219951	0.0064776162372247	45.0
GCA_000163055.2	2480269.0	0	0.0066326530612244	0.0005102040816326	0.0071428571428571	14.0
GCA_001262015.1	3261806.0	0	0.0016460905349794	0.0004115226337448	0.0020576131687242	5.0
GCA_002849795.1	3913006.0	0	0.0035889070146818	0.0003262642740619	0.0039151712887438	12.0
GCA_003815775.1	4890621.0	1	0.016590909090909	0.0027272727272727	0.0193181818181818	85.0
1014.5	2287133.0	1	0.0157942238267148	0.0009025270758122	0.016696750902527	37.0
1017.4	2838633.0	1	0.0	0.0035486160397444	0.0035486160397444	10.0
1019.3	3074746.0	1	0.0007034822370735	0.0052761167780513	0.0056278578965881	16.0
1019.4	2855148.0	1	0.0003859513701273	0.0057892705519104	0.0057892705519104	15.0
1019.5	3098616.0	1	0.0003472222222222	0.0055555555555555	0.0055555555555555	16.0
1019.50	5167383.0	1	0.0003668378576669	0.0058694057226705	0.0058694057226705	16.0
1030843.3	2339898.0	0	0.0064575645756457	0.0004612546125461	0.0069188191881918	15.0
1034807.5	3559884.0	1	0.0102688009664753	0.0015101177891875	0.0117789187556629	39.0
1041826.3	3162865.0	1	0.0110241820768136	0.0021337126600284	0.0131578947368421	37.0
104268.24	3358580.0	1	0.0045572916666666	0.00390625	0.0084635416666666	26.0
107401.14	3435971.0	1	0.0141553947782321	0.0025165146272412	0.0157282164202579	50.0
107401.17	3333272.0	1	0.015359477124183	0.0026143790849673	0.0169934640522875	52.0
1118202.5	2120336.0	1	0.0094029149036201	0.0	0.0094029149036201	20.0
1122984.13	2674170.0	0	0.0068104426787741	0.0003783579265985	0.0071888006053726	19.0
1124835.10	5458793.0	1	0.0158529994595568	0.0019816249324446	0.0178346243920014	99.0
1168034.5	5132075.0	1	0.0034090909090909	0.0006818181818181	0.004090909090909	18.0
1170699.3	3708790.0	1	0.0053491827637444	0.0041604754829123	0.0092124814264487	31.0
1178778.3	4639957.0	1	0.0013723696248856	0.0036596523330283	0.0050320219579139	22.0
1211326.4	7959595.0	1	0.0044241472812901	0.0014271442842871	0.0058512915655772	41.0
1218801.3	5500985.0	1	0.0172272354388843	0.0026661197703035	0.0198933552091878	97.0
1228997.3	2309519.0	1	0.0072300045187528	0.0	0.0072300045187528	16.0
1229726.3	4007868.0	1	0.0052040536839222	0.0024650780608052	0.0076691317447274	28.0
1241978.4	5104943.0	1	0.0121852152721364	0.0020308692120227	0.0142160844841592	70.0
