Identifier	Sequence-length	motility	TypeA_CDS	TypeB_CDS	CTD_CDS	total
PATRIC:1227739.3	5252070.0	0	0.0134710372698697	0.0022451728783116	0.0157162101481814	70
PATRIC:1356852.3	5010594.0	1	0.0102576335877862	0.0009541984732824	0.0112118320610687	47
PATRIC:1385664.3	4360029.0	1	0.0081643402686331	0.0010534632604687	0.0092178035291019	35
PATRIC:553174.6	3168282.0	0	0.0046121593291404	0.0	0.0046121593291404	11
PATRIC:643867.3	4516490.0	1	0.0086668366046393	0.0025490695895997	0.0109609992352791	43
GenBank:GCA_000024525.1	8491258.0	1	0.0053260400172736	0.001151576219951	0.0064776162372247	45
GenBank:GCA_000163055.2	2480269.0	0	0.0066326530612244	0.0005102040816326	0.0071428571428571	14
GenBank:GCA_001262015.1	3261806.0	0	0.0016460905349794	0.0004115226337448	0.0020576131687242	5
GenBank:GCA_002849795.1	3913006.0	0	0.0035889070146818	0.0003262642740619	0.0039151712887438	12
GenBank:GCA_003815775.1	4890621.0	1	0.016590909090909	0.0027272727272727	0.0193181818181818	85
PATRIC:1014.5	2287133.0	1	0.0157942238267148	0.0009025270758122	0.016696750902527	37
PATRIC:1017.4	2838633.0	1	0.0	0.0035486160397444	0.0035486160397444	10
PATRIC:1019.3	3074746.0	1	0.0007034822370735	0.0052761167780513	0.0056278578965881	16
PATRIC:1019.4	2855148.0	1	0.0003859513701273	0.0057892705519104	0.0057892705519104	15
PATRIC:1019.5	3098616.0	1	0.0003472222222222	0.0055555555555555	0.0055555555555555	16
PATRIC:1019.50	5167383.0	1	0.0003668378576669	0.0058694057226705	0.0058694057226705	16
PATRIC:1030843.3	2339898.0	0	0.0064575645756457	0.0004612546125461	0.0069188191881918	15
PATRIC:1034807.5	3559884.0	1	0.0102688009664753	0.0015101177891875	0.0117789187556629	39
PATRIC:1041826.3	3162865.0	1	0.0110241820768136	0.0021337126600284	0.0131578947368421	37
PATRIC:104268.24	3358580.0	1	0.0045572916666666	0.00390625	0.0084635416666666	26
PATRIC:107401.14	3435971.0	1	0.0141553947782321	0.0025165146272412	0.0157282164202579	50
PATRIC:107401.17	3333272.0	1	0.015359477124183	0.0026143790849673	0.0169934640522875	52
PATRIC:1118202.5	2120336.0	1	0.0094029149036201	0.0	0.0094029149036201	20
PATRIC:1122984.13	2674170.0	0	0.0068104426787741	0.0003783579265985	0.0071888006053726	19
PATRIC:1124835.10	5458793.0	1	0.0158529994595568	0.0019816249324446	0.0178346243920014	99
PATRIC:1168034.5	5132075.0	1	0.0034090909090909	0.0006818181818181	0.004090909090909	18
PATRIC:1170699.3	3708790.0	1	0.0053491827637444	0.0041604754829123	0.0092124814264487	31
PATRIC:1178778.3	4639957.0	1	0.0013723696248856	0.0036596523330283	0.0050320219579139	22
PATRIC:1211326.4	7959595.0	1	0.0044241472812901	0.0014271442842871	0.0058512915655772	41
PATRIC:1218801.3	5500985.0	1	0.0172272354388843	0.0026661197703035	0.0198933552091878	97
PATRIC:1228997.3	2309519.0	1	0.0072300045187528	0.0	0.0072300045187528	16
PATRIC:1229726.3	4007868.0	1	0.0052040536839222	0.0024650780608052	0.0076691317447274	28
PATRIC:1241978.4	5104943.0	1	0.0121852152721364	0.0020308692120227	0.0142160844841592	70
PATRIC:1241978.5	5318634.0	1	0.0126482213438735	0.0017786561264822	0.0144268774703557	73
PATRIC:1241979.4	3230102.0	1	0.0092356687898089	0.0012738853503184	0.0105095541401273	33
PATRIC:1241981.7	5618212.0	1	0.02242668200115	0.002875215641173	0.0253018976423231	132
PATRIC:1241981.8	5618200.0	1	0.0223880597014925	0.0028702640642939	0.0252583237657864	132
PATRIC:1241982.7	5595345.0	1	0.0175405507355714	0.0018860807242549	0.0194266314598264	103
PATRIC:1241982.8	5602501.0	1	0.0175637393767705	0.0018885741265344	0.019452313503305	103
PATRIC:1265445.3	4376354.0	1	0.0131045985227543	0.0026209197045508	0.0157255182273052	66
PATRIC:1300343.5	3293944.0	1	0.0070257611241217	0.0046838407494145	0.0117096018735363	35
PATRIC:1306519.4	3851214.0	1	0.0049049662783568	0.0027590435315757	0.0076640098099325	25
PATRIC:1307832.4	3350939.0	0	0.0031289111389236	0.0003128911138923	0.003441802252816	11
PATRIC:1307833.4	3393002.0	0	0.0046239210850801	0.000308261405672	0.0049321824907521	16
PATRIC:1307839.5	4812386.0	1	0.0217854605730523	0.0018943878759175	0.0236798484489699	100
PATRIC:1316593.3	2682541.0	1	0.0008113590263691	0.0036511156186612	0.0040567951318458	10
PATRIC:1316596.3	2990835.0	1	0.0007052186177715	0.005641748942172	0.005641748942172	16
PATRIC:1324352.13	4338935.0	1	0.018649193548387	0.003024193548387	0.0216733870967741	86
PATRIC:1324352.5	4633632.0	1	0.0171115674195756	0.0027378507871321	0.0198494182067077	87
PATRIC:1336794.4	2735158.0	1	0.017162471395881	0.0041952707856598	0.0213577421815408	56
PATRIC:1336795.4	2016454.0	1	0.0141074335322843	0.0048833423765599	0.0189907759088442	35
PATRIC:1354240.3	2234477.0	1	0.0065573770491803	0.0	0.0065573770491803	14
